Localidad,Rubro,NomComercio,Direccion,Prefijo,NroTel,Dto,Provincia,ImgCooBUENOS AIRESp,ImgCoopLink,ImgComercio,Latitud,Longitud
BAHÍA BLANCA,LIBRERÍA,KLAS LIBROS,BROWN 426,291,4501464,15,BUENOS AIRES,,,CooperativaObrera,-38.723422,-62.2633728
BAHÍA BLANCA,LIBRERÍA,LA CASA DEL CARTUCHO,14 DE JULIO 391,291,4882000,15,BUENOS AIRES,,,CooperativaObrera,-38.727318,-62.2474379
BAHÍA BLANCA,LIBRERÍA,LA CASA DEL CARTUCHO,ESTOMBA 797,291,4882000,15,BUENOS AIRES,,,CooperativaObrera,-38.711452,-62.275099
BAHÍA BLANCA,MARROQUINERÍA,AGRESTE MARROQUINERÍA,O´HIGGINS 9,291,4557006,10,BUENOS AIRES,,,CooperativaObrera,-38.7191801,-62.2656918
BAHÍA BLANCA,MARROQUINERÍA,BAMBI EQUIPAJES,CHICLANA 140,291,4521254,10,BUENOS AIRES,,,CooperativaObrera,-38.7192482,-62.2646557
BAHÍA BLANCA,MARROQUINERÍA,CLOUDA,CHICLANA 162,291,4554188,10,BUENOS AIRES,,,CooperativaObrera,-38.7194757,-62.2645718
BAHÍA BLANCA,ÓPTICA,ALEJANDRA DI CROCE,ZELARRAYÁN 145,,,15,BUENOS AIRES,,,CooperativaObrera,-38.7156964,-62.2661276
BAHÍA BLANCA,ÓPTICA,CENTRO ÓPTICO ALSINA,ALSINA 91,291,4557433,15,BUENOS AIRES,,,CooperativaObrera,-38.7179279,-62.2638083
BAHÍA BLANCA,ÓPTICA,ÓPTICA 11 DE ABRIL 210,11 DE ABRIL 210,,,15,BUENOS AIRES,,,CooperativaObrera,-38.7123309,-62.2678968
BAHÍA BLANCA,ÓPTICA,ÓPTICA ANA DI SARNO,O'HIGGINS 2,291,154072986,15,BUENOS AIRES,,,CooperativaObrera,-38.719287,-62.265362
BAHÍA BLANCA,ÓPTICA,ÓPTICA BLACK & WHITE,BELGRANO 6,291,154072986,15,BUENOS AIRES,,,CooperativaObrera,-38.7197459,-62.2640686
BAHÍA BLANCA,PELUQUERÍA,JAF MODAS,VIEYTES 2441,,,15,BUENOS AIRES,,,CooperativaObrera,-38.6998452,-62.2945298
